,P0_white and gray camouflage-patterned game controller,P1_black rectangular media remote control,P2_pair of light wood chopsticks,P3_clear disposable plastic cup,P4_ripe yellow banana,P5_white minimalist desk lamp with round base and red cord accent,P6_black wireless computer mouse,P7_green Lay's Sour Cream & Onion potato chip bag,P8_white folded paper airplane,P9_black rectangular desk surface,P10_black hard-shell suitcase with top handle,P11_small wooden cabinet or side table,P12_gray round plate,P13_purple dumbbell hand weight,P14_small succulent plant in a yellow ribbed pot,P15_black pepper grinder,P16_teal toothbrush with white bristles,P17_blue Arduino Uno circuit board,P18_blue upholstered two-seat bench,P19_green handheld leaf blower,P20_coil of green nylon rope
P10_black hard-shell suitcase with top handle,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P11_small wooden cabinet or side table,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P12_gray round plate,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P13_purple dumbbell hand weight,"5.64621617328617(6,6,5)","5.999999999999999(6,6,6)","5.313292845913055(6,5,5)","5.64621617328617(6,6,5)","4.93242414866094(6,5,4)","5.0(5,5,5)","5.64621617328617(6,6,5)","4.93242414866094(6,5,4)","5.64621617328617(6,6,5)","5.241482788417793(4,6,6)","4.217163326508746(3,5,5)","5.241482788417793(4,6,6)","5.64621617328617(6,6,5)","0(0,0,0)","4.93242414866094(6,5,4)","5.943921952763129(7,6,5)","5.517848352762241(7,6,4)","4.308869380063767(5,4,4)","4.160167646103808(3,6,4)","5.0(5,5,5)","5.241482788417793(6,6,4)"
P14_small succulent plant in a yellow ribbed pot,"4.5788569702133275(6,4,4)","5.313292845913055(6,5,5)","5.593444710406984(7,5,5)","3.634241185664279(4,4,3)","4.481404746557164(6,5,3)","4.641588833612778(5,4,5)","4.93242414866094(6,5,4)","4.5788569702133275(6,4,4)","3.9148676411688634(5,3,4)","5.943921952763129(7,5,6)","4.641588833612778(5,4,5)","4.93242414866094(5,4,6)","4.5788569702133275(6,4,4)","3.3019272488946263(4,3,3)","0(0,0,0)","3.9148676411688634(5,3,4)","3.7797631496846193(6,3,3)","4.308869380063767(5,4,4)","5.313292845913055(5,5,6)","4.308869380063767(4,4,5)","3.5568933044900626(5,3,3)"
P15_black pepper grinder,"5.313292845913055(5,5,6)","5.241482788417793(4,6,6)","4.160167646103808(2,6,6)","4.308869380063767(4,4,5)","5.64621617328617(5,6,6)","4.308869380063767(4,4,5)","4.762203155904598(3,6,6)","5.999999999999999(6,6,6)","4.762203155904598(3,6,6)","6.316359597656378(6,7,6)","5.64621617328617(6,6,5)","6.316359597656378(6,7,6)","5.64621617328617(5,6,6)","4.308869380063767(4,4,5)","4.308869380063767(4,4,5)","0(0,0,0)","3.9148676411688634(2,5,6)","5.241482788417793(4,6,6)","6.316359597656378(6,7,6)","4.217163326508746(3,5,5)","4.641588833612778(4,5,5)"
P16_teal toothbrush with white bristles,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P17_blue Arduino Uno circuit board,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P18_blue upholstered two-seat bench,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P19_green handheld leaf blower,"4.160167646103808(6,6,2)","4.160167646103808(6,6,2)","3.9148676411688634(6,5,2)","3.9148676411688634(5,6,2)","4.481404746557164(5,6,3)","3.634241185664279(4,6,2)","4.160167646103808(6,6,2)","4.762203155904598(6,6,3)","4.160167646103808(6,6,2)","3.6840314986403864(5,5,2)","3.6840314986403864(5,5,2)","3.4199518933533937(4,5,2)","3.634241185664279(4,6,2)","3.9148676411688634(6,5,2)","4.217163326508746(5,5,3)","4.160167646103808(6,6,2)","4.762203155904598(6,6,3)","3.6840314986403864(5,5,2)","3.634241185664279(4,4,3)","0(0,0,0)","4.481404746557164(5,6,3)"
P20_coil of green nylon rope,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
