,P0_white and gray camouflage-patterned game controller,P1_black rectangular media remote control,P2_pair of light wood chopsticks,P3_clear disposable plastic cup,P4_ripe yellow banana,P5_white minimalist desk lamp with round base and red cord accent,P6_black wireless computer mouse,P7_green Lay's Sour Cream & Onion potato chip bag,P8_white folded paper airplane,P9_black rectangular desk surface,P10_black hard-shell suitcase with top handle,P11_small wooden cabinet or side table,P12_gray round plate,P13_purple dumbbell hand weight,P14_small succulent plant in a yellow ribbed pot,P15_black pepper grinder,P16_teal toothbrush with white bristles,P17_blue Arduino Uno circuit board,P18_blue upholstered two-seat bench,P19_green handheld leaf blower,P20_coil of green nylon rope
P10_black hard-shell suitcase with top handle,"2.7144176165949063(5,2,2)","2.5198420997897464(4,2,2)","2.0(2,2,2)","3.3019272488946263(4,3,3)","5.313292845913055(5,6,5)","2.7144176165949063(5,2,2)","2.5198420997897464(4,2,2)","5.64621617328617(6,5,6)","2.6207413942088964(2,3,3)","2.4101422641752297(7,2,1)","0(0,0,0)","2.4101422641752297(7,2,1)","2.2894284851066637(6,2,1)","4.308869380063767(5,4,4)","3.0(3,3,3)","2.5198420997897464(4,2,2)","2.080083823051904(1,3,3)","1.8171205928321397(3,2,1)","5.943921952763129(7,6,5)","2.8844991406148166(6,2,2)","5.241482788417793(6,4,6)"
P11_small wooden cabinet or side table,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P12_gray round plate,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P13_purple dumbbell hand weight,"2.8844991406148166(4,3,2)","3.0(3,3,3)","1.5874010519681994(2,1,2)","3.5568933044900626(5,3,3)","5.999999999999999(6,6,6)","2.154434690031884(5,1,2)","2.8844991406148166(4,2,3)","5.999999999999999(6,6,6)","2.5198420997897464(2,2,4)","1.8171205928321397(6,1,1)","2.154434690031884(5,1,2)","1.8171205928321397(6,1,1)","1.5874010519681994(4,1,1)","0(0,0,0)","3.634241185664279(3,4,4)","1.4422495703074083(3,1,1)","2.6207413942088964(2,3,3)","1.2599210498948732(2,1,1)","5.943921952763129(7,6,5)","2.0(4,1,2)","5.313292845913055(6,5,5)"
P14_small succulent plant in a yellow ribbed pot,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P15_black pepper grinder,"2.7144176165949063(5,2,2)","2.0(4,2,1)","2.0(4,2,1)","2.8844991406148166(3,4,2)","5.241482788417793(4,6,6)","2.2894284851066637(6,2,1)","2.7144176165949063(5,2,2)","5.0(5,5,5)","1.2599210498948732(2,1,1)","1.8171205928321397(6,1,1)","1.7099759466766968(5,1,1)","1.8171205928321397(6,1,1)","1.7099759466766968(5,1,1)","4.217163326508746(5,5,3)","2.8844991406148166(4,3,2)","0(0,0,0)","2.2894284851066637(4,3,1)","1.4422495703074083(3,1,1)","5.64621617328617(6,6,5)","2.0(4,2,1)","5.241482788417793(4,6,6)"
P16_teal toothbrush with white bristles,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P17_blue Arduino Uno circuit board,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P18_blue upholstered two-seat bench,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P19_green handheld leaf blower,"3.1072325059538586(5,3,2)","2.5198420997897464(4,2,2)","1.4422495703074083(3,1,1)","3.9148676411688634(5,4,3)","5.64621617328617(5,6,6)","2.2894284851066637(6,2,1)","2.8844991406148166(4,3,2)","5.64621617328617(5,6,6)","1.8171205928321397(3,2,1)","1.912931182772389(7,1,1)","1.8171205928321397(3,2,1)","1.8171205928321397(6,1,1)","2.154434690031884(5,2,1)","3.634241185664279(4,4,3)","3.3019272488946263(4,3,3)","2.0(4,2,1)","3.3019272488946263(3,4,3)","1.4422495703074083(3,1,1)","5.64621617328617(6,6,5)","0(0,0,0)","5.0(5,5,5)"
P20_coil of green nylon rope,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
