,P0_gray and white camouflage wireless game controller,P1_pair of light brown wooden chopsticks,P2_small black streaming media remote control,P3_clear disposable plastic cup,P4_ripe yellow banana,P5_white minimalist LED desk lamp with a slim horizontal lighting bar and red cable,P6_dark grey ergonomic vertical computer mouse,P7_green bag of Lay's sour cream & onion potato chips,P8_white folded paper origami shape,P9_black hard-shell rolling suitcase with ribbed texture and top handle,P10_wooden-top bedside table with black frame,P11_round gray ceramic plate,P12_purple neoprene-coated dumbbell,P13_small succulent plant in a ribbed yellow pot,P14_glass pepper grinder with black cap,P15_turquoise toothbrush with white bristles,P16_blue Arduino Uno circuit board,P17_6-string acoustic guitar with natural wood finish and cutaway,P18_blue upholstered two-seater couch with black metal frame,P19_magnetic whiteboard with silver tray,P20_rolled white paper scroll
P10_wooden-top bedside table with black frame,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P11_round gray ceramic plate,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P12_purple neoprene-coated dumbbell,"5.999999999999999(6,6,6)","4.93242414866094(5,6,4)","5.313292845913055(5,6,5)","3.9999999999999996(4,4,4)","4.641588833612778(5,5,4)","3.9148676411688634(4,5,3)","5.313292845913055(5,6,5)","5.313292845913055(5,6,5)","4.93242414866094(5,6,4)","4.217163326508746(5,5,3)","3.4199518933533937(5,4,2)","4.308869380063767(4,4,5)","0(0,0,0)","4.641588833612778(5,5,4)","5.64621617328617(6,6,5)","4.481404746557164(5,6,3)","5.241482788417793(6,6,4)","3.4199518933533937(4,5,2)","3.6840314986403864(5,5,2)","3.9148676411688634(5,6,2)","4.93242414866094(5,6,4)"
P13_small succulent plant in a ribbed yellow pot,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P14_glass pepper grinder with black cap,"5.64621617328617(6,6,5)","3.9999999999999996(4,4,4)","5.313292845913055(5,5,6)","5.64621617328617(5,6,6)","5.0(5,5,5)","5.313292845913055(5,6,5)","4.641588833612778(4,5,5)","5.64621617328617(6,6,5)","3.634241185664279(4,3,4)","5.999999999999999(6,6,6)","6.316359597656378(6,7,6)","4.93242414866094(4,6,5)","3.634241185664279(3,4,4)","3.5568933044900626(5,3,3)","0(0,0,0)","2.8844991406148166(3,2,4)","5.0(5,5,5)","4.308869380063767(5,4,4)","5.999999999999999(6,6,6)","6.316359597656378(6,7,6)","4.641588833612778(4,5,5)"
P15_turquoise toothbrush with white bristles,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P16_blue Arduino Uno circuit board,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P17_6-string acoustic guitar with natural wood finish and cutaway,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P18_blue upholstered two-seater couch with black metal frame,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P19_magnetic whiteboard with silver tray,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P20_rolled white paper scroll,"5.999999999999999(6,6,6)","4.641588833612778(5,4,5)","5.999999999999999(6,6,6)","5.64621617328617(6,5,6)","5.999999999999999(6,6,6)","5.313292845913055(6,5,5)","5.999999999999999(6,6,6)","5.0(5,5,5)","5.999999999999999(6,6,6)","5.0(5,5,5)","4.308869380063767(4,5,4)","5.0(5,5,5)","5.313292845913055(5,6,5)","4.641588833612778(5,4,5)","5.313292845913055(5,5,6)","5.999999999999999(6,6,6)","5.999999999999999(6,6,6)","4.308869380063767(4,4,5)","4.5788569702133275(4,6,4)","4.641588833612778(5,5,4)","0(0,0,0)"
