,P0_red Coca-Cola aluminum can,P1_black and silver extendable selfie stick with phone holder,P2_white plastic clip device (mini stapler or bag sealer),P3_yellow snack bag of Japanese pea crackers,P4_Apple iMac desktop computer with silver aluminum stand,P5_mechanical keyboard with dark gray keycaps and one orange key,P6_white Apple Magic Mouse,P7_white camo-pattern Xbox controller,P8_empty wine glass with long stem,P9_small succulent plant in a yellow ceramic pot,P10_metallic ballpoint pen with a clear barrel,"P11_office chair with black mesh back, black seat cushion, and armrests",P12_spray bottle with white nozzle and light blue liquid,P13_wooden-handled brush with black bristles,P14_green and yellow scouring sponge,P15_pair of scissors with yellow handles,P16_metal calibration weight labeled 'M 500g',"P17_plush turtle shell pet bed (green top, white rim)",P18_transparent plastic umbrella with white curved handle,P19_blue upholstered two-seat bench with black metal armrests,P20_beige round bean bag / floor cushion
P10_metallic ballpoint pen with a clear barrel,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
"P11_office chair with black mesh back, black seat cushion, and armrests","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P12_spray bottle with white nozzle and light blue liquid,"3.7797631496846193(6,3,3)","5.0(5,5,5)","3.3019272488946263(4,3,3)","1.4422495703074083(3,1,1)","5.64621617328617(5,6,6)","3.9148676411688634(5,4,3)","4.308869380063767(5,4,4)","4.160167646103808(6,4,3)","3.9148676411688634(5,4,3)","4.641588833612778(4,5,5)","3.3019272488946263(3,3,4)","4.5788569702133275(6,4,4)","0(0,0,0)","4.308869380063767(5,4,4)","1.4422495703074083(3,1,1)","4.481404746557164(3,5,6)","6.316359597656378(6,6,7)","1.5874010519681994(4,1,1)","3.9999999999999996(4,4,4)","5.64621617328617(6,6,5)","1.5874010519681994(4,1,1)"
P13_wooden-handled brush with black bristles,"3.3019272488946263(6,3,2)","3.634241185664279(4,4,3)","2.8844991406148166(4,3,2)","1.7099759466766968(5,1,1)","4.160167646103808(6,4,3)","3.1072325059538586(5,3,2)","3.1072325059538586(5,3,2)","3.3019272488946263(6,3,2)","2.8844991406148166(4,3,2)","4.160167646103808(6,4,3)","2.7144176165949063(2,5,2)","2.2894284851066637(6,2,1)","3.1072325059538586(5,3,2)","0(0,0,0)","1.7099759466766968(5,1,1)","3.9148676411688634(4,5,3)","4.5788569702133275(6,4,4)","1.8171205928321397(6,1,1)","3.1748021039363987(4,4,2)","3.7797631496846193(6,3,3)","1.7099759466766968(5,1,1)"
P14_green and yellow scouring sponge,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P15_pair of scissors with yellow handles,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P16_metal calibration weight labeled 'M 500g',"3.3019272488946263(6,3,2)","4.93242414866094(5,6,4)","3.1748021039363987(4,4,2)","1.4422495703074083(3,1,1)","4.160167646103808(6,4,3)","3.5568933044900626(5,3,3)","2.8844991406148166(4,3,2)","3.1072325059538586(5,3,2)","3.4199518933533937(4,5,2)","3.9148676411688634(5,4,3)","3.9148676411688634(2,6,5)","2.154434690031884(5,2,1)","3.1072325059538586(5,3,2)","4.308869380063767(5,4,4)","1.4422495703074083(3,1,1)","4.217163326508746(3,5,5)","0(0,0,0)","1.5874010519681994(4,1,1)","4.5788569702133275(4,6,4)","3.3019272488946263(6,3,2)","1.5874010519681994(4,1,1)"
"P17_plush turtle shell pet bed (green top, white rim)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P18_transparent plastic umbrella with white curved handle,"3.634241185664279(6,4,2)","4.217163326508746(5,5,3)","4.217163326508746(5,5,3)","2.0(4,2,1)","5.241482788417793(6,6,4)","3.6840314986403864(5,5,2)","3.1748021039363987(4,4,2)","3.1748021039363987(4,4,2)","4.641588833612778(5,5,4)","5.313292845913055(5,6,5)","3.7797631496846193(3,6,3)","2.6207413942088964(6,3,1)","3.1748021039363987(4,4,2)","4.641588833612778(5,5,4)","2.0(4,2,1)","4.93242414866094(4,6,5)","6.649399761150975(7,7,6)","1.5874010519681994(4,1,1)","0(0,0,0)","4.481404746557164(6,5,3)","1.4422495703074083(3,1,1)"
P19_blue upholstered two-seat bench with black metal armrests,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P20_beige round bean bag / floor cushion,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
