,P0_Apple iMac computer monitor with silver bezel and black screen,P1_small white tabletop fan with round grill,P2_compact black mechanical keyboard with grey keycaps and one orange key,P3_white wireless Apple Magic Mouse,P4_black ballpoint pen,P5_white coiled USB charging cable,P6_green retractable USB cable reel,P7_black mesh office chair with armrests,P8_grey office desk surface,P9_small white mini stapler with black interior and yellow staples,P10_clear disposable plastic cup,P11_pair of scissors with black blades and yellow handles,P12_tall white trigger spray bottle filled with blue liquid,P13_black foldable phone/tablet stand,P14_orange ping pong ball with printed logo,P15_wireless game controller with grey camouflage pattern,P16_clear stemmed wine glass,P17_AA battery,P18_small grey 3D-printed figurine of a horned animal,P19_red Shin Ramyun instant noodle packet,P20_telescoping metal selfie stick with black plastic handle,P21_medium-sized blue metal binder clip with folded handles,P22_rectangular yellow and green kitchen sponge,P23_rectangular blue tissue box with white tissues protruding,P24_cylindrical silver 500g calibration weight marked 'M 500g',P25_wooden hand broom with black bristles,P26_black faux leather two-seater sofa,P27_yellow plastic bag of Japanese snacks,P28_green and white plush turtle shell cushion,P29_black and white patterned umbrella with curved handle
P14_orange ping pong ball with printed logo,"3.634241185664279(6,4,2)","2.0(4,2,1)","2.0(4,2,1)","3.4199518933533937(5,4,2)","1.8171205928321397(2,3,1)","1.8171205928321397(2,3,1)","3.9148676411688634(5,4,3)","4.93242414866094(6,5,4)","5.1924941018511035(7,5,4)","3.1072325059538586(5,3,2)","3.3019272488946263(4,3,3)","2.080083823051904(3,3,1)","3.4199518933533937(5,4,2)","3.9999999999999996(4,4,4)","0(0,0,0)","3.5568933044900626(5,3,3)","2.2894284851066637(3,4,1)","1.5874010519681994(2,2,1)","3.3019272488946263(3,3,4)","3.634241185664279(6,4,2)","2.080083823051904(3,3,1)","2.2894284851066637(3,2,2)","4.93242414866094(6,4,5)","5.313292845913055(6,5,5)","2.46621207433047(5,3,1)","4.5788569702133275(6,4,4)","4.93242414866094(6,5,4)","3.3019272488946263(6,3,2)","4.217163326508746(5,5,3)","3.3019272488946263(3,4,3)"
P15_wireless game controller with grey camouflage pattern,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P16_clear stemmed wine glass,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P17_AA battery,"2.8844991406148166(6,2,2)","3.5568933044900626(5,3,3)","4.641588833612778(5,5,4)","2.8844991406148166(4,3,2)","1.5874010519681994(2,2,1)","1.4422495703074083(1,3,1)","3.634241185664279(4,4,3)","4.93242414866094(6,5,4)","5.943921952763129(7,6,5)","3.0(3,3,3)","2.5198420997897464(4,2,2)","2.2894284851066637(3,2,2)","3.4199518933533937(5,4,2)","3.9999999999999996(4,4,4)","1.4422495703074083(3,1,1)","4.641588833612778(5,5,4)","2.5198420997897464(4,2,2)","0(0,0,0)","2.2894284851066637(2,3,2)","4.217163326508746(5,5,3)","2.6207413942088964(3,3,2)","2.6207413942088964(3,3,2)","3.9148676411688634(5,4,3)","5.64621617328617(6,5,6)","1.5874010519681994(4,1,1)","5.313292845913055(5,6,5)","5.241482788417793(6,6,4)","3.6840314986403864(5,5,2)","3.634241185664279(4,4,3)","2.8844991406148166(3,4,2)"
P18_small grey 3D-printed figurine of a horned animal,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P19_red Shin Ramyun instant noodle packet,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P20_telescoping metal selfie stick with black plastic handle,"3.7797631496846193(6,3,3)","4.308869380063767(5,4,4)","2.2894284851066637(3,2,2)","3.634241185664279(4,4,3)","2.0(2,2,2)","1.8171205928321397(1,2,3)","3.634241185664279(4,4,3)","4.93242414866094(6,5,4)","5.943921952763129(7,6,5)","3.634241185664279(4,3,4)","3.3019272488946263(4,3,3)","2.2894284851066637(3,2,2)","3.9148676411688634(5,4,3)","4.641588833612778(5,5,4)","1.8171205928321397(3,2,1)","3.9148676411688634(5,4,3)","2.8844991406148166(4,3,2)","1.2599210498948732(2,1,1)","2.0(2,2,2)","4.93242414866094(6,5,4)","0(0,0,0)","2.2894284851066637(3,2,2)","3.5568933044900626(5,3,3)","5.64621617328617(6,5,6)","2.0(4,2,1)","5.0(5,5,5)","4.641588833612778(5,5,4)","4.308869380063767(5,4,4)","3.3019272488946263(4,3,3)","3.9999999999999996(4,4,4)"
P21_medium-sized blue metal binder clip with folded handles,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P22_rectangular yellow and green kitchen sponge,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P23_rectangular blue tissue box with white tissues protruding,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P24_cylindrical silver 500g calibration weight marked 'M 500g',"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P25_wooden hand broom with black bristles,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P26_black faux leather two-seater sofa,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P27_yellow plastic bag of Japanese snacks,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P28_green and white plush turtle shell cushion,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P29_black and white patterned umbrella with curved handle,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
