,P0_small stack of neon green sticky notes,P1_rolled white poster or paper tube,P2_folded white paper airplane,P3_ripe yellow banana,P4_wireless game controller with gray camouflage pattern,P5_empty grey ceramic plate,P6_black remote control with buttons,P7_wireless computer mouse (dark grey),P8_transparent disposable plastic cup,P9_teal toothbrush with white bristles,P10_black hard-shell suitcase with top handle,"P11_green Lay's sour cream & onion potato chips bag, partially opened",P12_white minimalist desk lamp with red cord,P13_flat-screen TV,P14_small green potted plant in a ribbed yellow ceramic pot,P15_purple neoprene-coated dumbbell,P16_single wooden chopstick or bamboo stick,P17_clear glass pepper grinder with a black lid,P18_Arduino Uno microcontroller board with USB connector,P19_6-string cutaway acoustic guitar with light wood top and red sides,P20_blue upholstered bench seat with black metal frame,P21_whiteboard with a silver metal tray at the bottom
P10_black hard-shell suitcase with top handle,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
"P11_green Lay's sour cream & onion potato chips bag, partially opened","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P12_white minimalist desk lamp with red cord,"5.64621617328617(6,6,5)","5.241482788417793(6,6,4)","5.0(5,5,5)","5.313292845913055(6,5,5)","4.308869380063767(5,4,4)","5.0(5,5,5)","4.93242414866094(6,4,5)","4.308869380063767(5,4,4)","4.308869380063767(4,5,4)","4.481404746557164(6,3,5)","4.481404746557164(5,6,3)","4.93242414866094(5,6,4)","0(0,0,0)","3.9148676411688634(3,5,4)","3.3019272488946263(4,3,3)","4.308869380063767(5,4,4)","3.3019272488946263(3,3,4)","3.9999999999999996(4,4,4)","4.481404746557164(6,3,5)","3.634241185664279(4,4,3)","4.481404746557164(5,6,3)","4.5788569702133275(4,6,4)"
P13_flat-screen TV,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P14_small green potted plant in a ribbed yellow ceramic pot,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P15_purple neoprene-coated dumbbell,"5.241482788417793(6,6,4)","5.0(5,5,5)","4.762203155904598(6,6,3)","5.241482788417793(6,6,4)","4.217163326508746(5,5,3)","4.93242414866094(4,6,5)","4.762203155904598(6,6,3)","4.481404746557164(6,5,3)","3.634241185664279(3,4,4)","2.8844991406148166(4,3,2)","3.9148676411688634(3,4,5)","5.0(5,5,5)","4.5788569702133275(6,4,4)","5.0(5,5,5)","3.634241185664279(4,4,3)","0(0,0,0)","3.1072325059538586(5,3,2)","4.308869380063767(5,4,4)","4.762203155904598(6,6,3)","4.308869380063767(4,5,4)","5.313292845913055(5,5,6)","5.64621617328617(6,6,5)"
P16_single wooden chopstick or bamboo stick,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P17_clear glass pepper grinder with a black lid,"6.316359597656378(6,6,7)","5.64621617328617(5,6,6)","5.999999999999999(6,6,6)","5.999999999999999(6,6,6)","5.313292845913055(5,5,6)","6.316359597656378(6,6,7)","5.313292845913055(5,5,6)","5.313292845913055(5,5,6)","5.0(5,5,5)","5.999999999999999(6,6,6)","5.313292845913055(5,6,5)","5.313292845913055(5,5,6)","3.9999999999999996(4,4,4)","5.64621617328617(6,6,5)","3.9999999999999996(4,4,4)","4.641588833612778(5,5,4)","5.999999999999999(6,6,6)","0(0,0,0)","5.313292845913055(5,5,6)","4.641588833612778(4,5,5)","5.64621617328617(5,6,6)","5.999999999999999(6,6,6)"
P18_Arduino Uno microcontroller board with USB connector,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P19_6-string cutaway acoustic guitar with light wood top and red sides,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P20_blue upholstered bench seat with black metal frame,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P21_whiteboard with a silver metal tray at the bottom,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
