item_index,virtual_object,physical_object,property_type,ground_truth_rating,interaction_activity,utilization_method,ft_predicted_rating,ft_accuracy_score,ft_parse_success,base_4o_predicted_rating,base_4o_accuracy_score,base_4o_parse_success,base_mini_predicted_rating,base_mini_accuracy_score,base_mini_parse_success,ft_error,base_4o_error,base_mini_error,winner
14,Chest,Mechanical Keyboard,Outline,2,Players would open the lid to reveal storage space for holding items.,"Hook three fingers under one narrow edge of the keyboard and pivot it upward like a lid while the opposite edge stays on the desk, providing a hard, rigid surface and moderate weight similar to a small chest top.",5,0.0,True,3,0.9,True,5,0.0,True,3,1,3,base_4o
15,Chest,Mechanical Keyboard,Texture,5,Players would open the lid to reveal storage space for holding items.,"Hook three fingers under one narrow edge of the keyboard and pivot it upward like a lid while the opposite edge stays on the desk, providing a hard, rigid surface and moderate weight similar to a small chest top.",5,1.0,True,2,0.0,True,1,0.0,True,0,3,4,fine_tuned
16,Chest,Mechanical Keyboard,Hardness,5,Players would open the lid to reveal storage space for holding items.,"Hook three fingers under one narrow edge of the keyboard and pivot it upward like a lid while the opposite edge stays on the desk, providing a hard, rigid surface and moderate weight similar to a small chest top.",5,1.0,True,5,1.0,True,6,0.9,True,0,0,1,fine_tuned
17,Chest,Mechanical Keyboard,Temperature,5,Players would open the lid to reveal storage space for holding items.,"Hook three fingers under one narrow edge of the keyboard and pivot it upward like a lid while the opposite edge stays on the desk, providing a hard, rigid surface and moderate weight similar to a small chest top.",4,0.9,True,3,0.5,True,5,1.0,True,1,2,0,base_mini
18,Chest,Lay's,Inertia,1,Players would open the lid to reveal storage space for holding items.,Pinch the top seam with both hands and pull it apart to open. ,1,1.0,True,1,1.0,True,1,1.0,True,0,0,0,fine_tuned
19,Chest,Lay's,Interactivity,1,Players would open the lid to reveal storage space for holding items.,Pinch the top seam with both hands and pull it apart to open. ,2,0.9,True,2,0.9,True,2,0.9,True,1,1,1,fine_tuned
20,Chest,Lay's,Outline,1,Players would open the lid to reveal storage space for holding items.,Pinch the top seam with both hands and pull it apart to open. ,1,1.0,True,1,1.0,True,1,1.0,True,0,0,0,fine_tuned
21,Chest,Lay's,Texture,1,Players would open the lid to reveal storage space for holding items.,Pinch the top seam with both hands and pull it apart to open. ,1,1.0,True,1,1.0,True,1,1.0,True,0,0,0,fine_tuned
22,Chest,Lay's,Hardness,1,Players would open the lid to reveal storage space for holding items.,Pinch the top seam with both hands and pull it apart to open. ,1,1.0,True,1,1.0,True,1,1.0,True,0,0,0,fine_tuned
23,Chest,Lay's,Temperature,2,Players would open the lid to reveal storage space for holding items.,Pinch the top seam with both hands and pull it apart to open. ,2,1.0,True,1,0.9,True,4,0.5,True,0,1,2,fine_tuned
24,Chest,Game Controller,Inertia,2,Players would open the lid to reveal storage space for holding items.,"Grip the controller body as the chest and use the other hand to lift the battery-door ridge with a thumb, experiencing a hinged plastic panel and hard stop similar to a lid.",3,0.9,True,3,0.9,True,2,1.0,True,1,1,0,base_mini
25,Chest,Game Controller,Interactivity,4,Players would open the lid to reveal storage space for holding items.,"Grip the controller body as the chest and use the other hand to lift the battery-door ridge with a thumb, experiencing a hinged plastic panel and hard stop similar to a lid.",5,0.9,True,3,0.9,True,6,0.5,True,1,1,2,fine_tuned
26,Chest,Game Controller,Outline,2,Players would open the lid to reveal storage space for holding items.,"Grip the controller body as the chest and use the other hand to lift the battery-door ridge with a thumb, experiencing a hinged plastic panel and hard stop similar to a lid.",2,1.0,True,2,1.0,True,2,1.0,True,0,0,0,fine_tuned
27,Chest,Game Controller,Texture,4,Players would open the lid to reveal storage space for holding items.,"Grip the controller body as the chest and use the other hand to lift the battery-door ridge with a thumb, experiencing a hinged plastic panel and hard stop similar to a lid.",4,1.0,True,3,0.9,True,2,0.5,True,0,1,2,fine_tuned
28,Chest,Game Controller,Hardness,5,Players would open the lid to reveal storage space for holding items.,"Grip the controller body as the chest and use the other hand to lift the battery-door ridge with a thumb, experiencing a hinged plastic panel and hard stop similar to a lid.",5,1.0,True,5,1.0,True,5,1.0,True,0,0,0,fine_tuned
29,Chest,Game Controller,Temperature,2,Players would open the lid to reveal storage space for holding items.,"Grip the controller body as the chest and use the other hand to lift the battery-door ridge with a thumb, experiencing a hinged plastic panel and hard stop similar to a lid.",4,0.5,True,3,0.9,True,6,0.0,True,2,1,4,base_4o
30,Double Slider,Game Controller,Inertia,3,This virtual double slider serves as a mechanical control interface.,Place the controller upside-down so the curved top becomes a smooth contact patch. Grasp the handle grips and push/pull the controller linearly.,4,0.9,True,3,1.0,True,3,1.0,True,1,0,0,base_4o
31,Double Slider,Game Controller,Interactivity,4,This virtual double slider serves as a mechanical control interface.,Place the controller upside-down so the curved top becomes a smooth contact patch. Grasp the handle grips and push/pull the controller linearly.,4,1.0,True,2,0.5,True,3,0.9,True,0,2,1,fine_tuned
32,Double Slider,Game Controller,Outline,4,This virtual double slider serves as a mechanical control interface.,Place the controller upside-down so the curved top becomes a smooth contact patch. Grasp the handle grips and push/pull the controller linearly.,4,1.0,True,3,0.9,True,2,0.5,True,0,1,2,fine_tuned
33,Double Slider,Game Controller,Texture,5,This virtual double slider serves as a mechanical control interface.,Place the controller upside-down so the curved top becomes a smooth contact patch. Grasp the handle grips and push/pull the controller linearly.,5,1.0,True,2,0.0,True,5,1.0,True,0,3,0,fine_tuned
34,Double Slider,Game Controller,Hardness,5,This virtual double slider serves as a mechanical control interface.,Place the controller upside-down so the curved top becomes a smooth contact patch. Grasp the handle grips and push/pull the controller linearly.,5,1.0,True,5,1.0,True,6,0.9,True,0,0,1,fine_tuned
35,Double Slider,Game Controller,Temperature,4,This virtual double slider serves as a mechanical control interface.,Place the controller upside-down so the curved top becomes a smooth contact patch. Grasp the handle grips and push/pull the controller linearly.,5,0.9,True,3,0.9,True,2,0.5,True,1,1,2,fine_tuned
36,Double Slider,Desk Lamp,Inertia,6,This virtual double slider serves as a mechanical control interface.,Grasp the long horizontal light bar and slide the whole lamp base a controlled distance across the desk while keeping the bar level. ,5,0.9,True,3,0.0,True,2,0.0,True,1,3,4,fine_tuned
37,Double Slider,Desk Lamp,Interactivity,6,This virtual double slider serves as a mechanical control interface.,Grasp the long horizontal light bar and slide the whole lamp base a controlled distance across the desk while keeping the bar level. ,3,0.0,True,2,0.0,True,2,0.0,True,3,4,4,fine_tuned
38,Double Slider,Desk Lamp,Outline,5,This virtual double slider serves as a mechanical control interface.,Grasp the long horizontal light bar and slide the whole lamp base a controlled distance across the desk while keeping the bar level. ,5,1.0,True,3,0.5,True,2,0.0,True,0,2,3,fine_tuned
39,Double Slider,Desk Lamp,Texture,5,This virtual double slider serves as a mechanical control interface.,Grasp the long horizontal light bar and slide the whole lamp base a controlled distance across the desk while keeping the bar level. ,5,1.0,True,3,0.5,True,1,0.0,True,0,2,4,fine_tuned
40,Double Slider,Desk Lamp,Hardness,6,This virtual double slider serves as a mechanical control interface.,Grasp the long horizontal light bar and slide the whole lamp base a controlled distance across the desk while keeping the bar level. ,5,0.9,True,5,0.9,True,6,1.0,True,1,1,0,base_mini
41,Double Slider,Desk Lamp,Temperature,5,This virtual double slider serves as a mechanical control interface.,Grasp the long horizontal light bar and slide the whole lamp base a controlled distance across the desk while keeping the bar level. ,5,1.0,True,4,0.9,True,6,0.9,True,0,1,1,fine_tuned
42,Double Slider,Pillow,Inertia,5,This virtual double slider serves as a mechanical control interface.,"Set the plush on a smooth table, press down lightly on the white rim (acts as a bar), and slide the toy forward/back by compressing the plush fabric. The soft drag gives gentle resistance, suitable for simulating a low-friction virtual slider.",3,0.5,True,2,0.0,True,2,0.0,True,2,3,3,fine_tuned
43,Double Slider,Pillow,Interactivity,4,This virtual double slider serves as a mechanical control interface.,"Set the plush on a smooth table, press down lightly on the white rim (acts as a bar), and slide the toy forward/back by compressing the plush fabric. The soft drag gives gentle resistance, suitable for simulating a low-friction virtual slider.",3,0.9,True,2,0.5,True,3,0.9,True,1,2,1,fine_tuned
44,Double Slider,Pillow,Outline,5,This virtual double slider serves as a mechanical control interface.,"Set the plush on a smooth table, press down lightly on the white rim (acts as a bar), and slide the toy forward/back by compressing the plush fabric. The soft drag gives gentle resistance, suitable for simulating a low-friction virtual slider.",2,0.0,True,2,0.0,True,2,0.0,True,3,3,3,fine_tuned
45,Double Slider,Pillow,Texture,1,This virtual double slider serves as a mechanical control interface.,"Set the plush on a smooth table, press down lightly on the white rim (acts as a bar), and slide the toy forward/back by compressing the plush fabric. The soft drag gives gentle resistance, suitable for simulating a low-friction virtual slider.",2,0.9,True,2,0.9,True,2,0.9,True,1,1,1,fine_tuned
46,Double Slider,Pillow,Hardness,1,This virtual double slider serves as a mechanical control interface.,"Set the plush on a smooth table, press down lightly on the white rim (acts as a bar), and slide the toy forward/back by compressing the plush fabric. The soft drag gives gentle resistance, suitable for simulating a low-friction virtual slider.",1,1.0,True,1,1.0,True,1,1.0,True,0,0,0,fine_tuned
47,Double Slider,Pillow,Temperature,1,This virtual double slider serves as a mechanical control interface.,"Set the plush on a smooth table, press down lightly on the white rim (acts as a bar), and slide the toy forward/back by compressing the plush fabric. The soft drag gives gentle resistance, suitable for simulating a low-friction virtual slider.",2,0.9,True,2,0.9,True,3,0.5,True,1,1,2,fine_tuned
48,Double Slider,Selfie-stick,Inertia,6,This virtual double slider serves as a mechanical control interface.,"Grip and bend the phone-clamp tube horizontally, and slide the whole frame back and forth on the surface. ",5,0.9,True,3,0.0,True,2,0.0,True,1,3,4,fine_tuned
49,Double Slider,Selfie-stick,Interactivity,5,This virtual double slider serves as a mechanical control interface.,"Grip and bend the phone-clamp tube horizontally, and slide the whole frame back and forth on the surface. ",5,1.0,True,3,0.5,True,2,0.0,True,0,2,3,fine_tuned
50,Double Slider,Selfie-stick,Outline,5,This virtual double slider serves as a mechanical control interface.,"Grip and bend the phone-clamp tube horizontally, and slide the whole frame back and forth on the surface. ",5,1.0,True,3,0.5,True,3,0.5,True,0,2,2,fine_tuned
51,Double Slider,Selfie-stick,Texture,6,This virtual double slider serves as a mechanical control interface.,"Grip and bend the phone-clamp tube horizontally, and slide the whole frame back and forth on the surface. ",5,0.9,True,3,0.0,True,2,0.0,True,1,3,4,fine_tuned
52,Double Slider,Selfie-stick,Hardness,5,This virtual double slider serves as a mechanical control interface.,"Grip and bend the phone-clamp tube horizontally, and slide the whole frame back and forth on the surface. ",5,1.0,True,5,1.0,True,3,0.5,True,0,0,2,fine_tuned
53,Double Slider,Selfie-stick,Temperature,4,This virtual double slider serves as a mechanical control interface.,"Grip and bend the phone-clamp tube horizontally, and slide the whole frame back and forth on the surface. ",5,0.9,True,4,1.0,True,4,1.0,True,1,0,0,base_4o
54,Double Slider,Portable Stapler,Inertia,3,This virtual double slider serves as a mechanical control interface.,Hold the stapler by its long upper arm (treat it as the slider handle) and slide the stapler body forward/backward along the desktop. ,5,0.5,True,3,1.0,True,3,1.0,True,2,0,0,base_4o
55,Double Slider,Portable Stapler,Interactivity,5,This virtual double slider serves as a mechanical control interface.,Hold the stapler by its long upper arm (treat it as the slider handle) and slide the stapler body forward/backward along the desktop. ,5,1.0,True,2,0.0,True,2,0.0,True,0,3,3,fine_tuned
56,Double Slider,Portable Stapler,Outline,4,This virtual double slider serves as a mechanical control interface.,Hold the stapler by its long upper arm (treat it as the slider handle) and slide the stapler body forward/backward along the desktop. ,5,0.9,True,3,0.9,True,3,0.9,True,1,1,1,fine_tuned
57,Double Slider,Portable Stapler,Texture,4,This virtual double slider serves as a mechanical control interface.,Hold the stapler by its long upper arm (treat it as the slider handle) and slide the stapler body forward/backward along the desktop. ,5,0.9,True,3,0.9,True,3,0.9,True,1,1,1,fine_tuned
58,Double Slider,Portable Stapler,Hardness,5,This virtual double slider serves as a mechanical control interface.,Hold the stapler by its long upper arm (treat it as the slider handle) and slide the stapler body forward/backward along the desktop. ,5,1.0,True,5,1.0,True,5,1.0,True,0,0,0,fine_tuned
59,Double Slider,Portable Stapler,Temperature,4,This virtual double slider serves as a mechanical control interface.,Hold the stapler by its long upper arm (treat it as the slider handle) and slide the stapler body forward/backward along the desktop. ,5,0.9,True,4,1.0,True,3,0.9,True,1,0,1,base_4o
60,Dropper,Ergonomic Chair,Inertia,1,This dropper would be used for liquid dispensing.,"Pinch the pliable arm-rest pad between thumb and index finger, gently squeezing its cushion to emulate the deformable bulb.",2,0.9,True,2,0.9,True,2,0.9,True,1,1,1,fine_tuned
61,Dropper,Ergonomic Chair,Interactivity,5,This dropper would be used for liquid dispensing.,"Pinch the pliable arm-rest pad between thumb and index finger, gently squeezing its cushion to emulate the deformable bulb.",4,0.9,True,2,0.0,True,2,0.0,True,1,3,3,fine_tuned
62,Dropper,Ergonomic Chair,Outline,2,This dropper would be used for liquid dispensing.,"Pinch the pliable arm-rest pad between thumb and index finger, gently squeezing its cushion to emulate the deformable bulb.",2,1.0,True,1,0.9,True,2,1.0,True,0,1,0,fine_tuned
63,Dropper,Ergonomic Chair,Texture,5,This dropper would be used for liquid dispensing.,"Pinch the pliable arm-rest pad between thumb and index finger, gently squeezing its cushion to emulate the deformable bulb.",5,1.0,True,2,0.0,True,2,0.0,True,0,3,3,fine_tuned
64,Dropper,Ergonomic Chair,Hardness,4,This dropper would be used for liquid dispensing.,"Pinch the pliable arm-rest pad between thumb and index finger, gently squeezing its cushion to emulate the deformable bulb.",5,0.9,True,3,0.9,True,2,0.5,True,1,1,2,fine_tuned
65,Dropper,Ergonomic Chair,Temperature,5,This dropper would be used for liquid dispensing.,"Pinch the pliable arm-rest pad between thumb and index finger, gently squeezing its cushion to emulate the deformable bulb.",4,0.9,True,2,0.0,True,4,0.9,True,1,3,1,fine_tuned
66,Dropper,Portable Stapler,Inertia,5,This dropper would be used for liquid dispensing.,Pinch the jaws with index and thumb and press the top plastic arm down. The spring-loaded resistance and automatic return convincingly replicate the squeeze and release of a dropper bulb.,6,0.9,True,3,0.5,True,2,0.0,True,1,2,3,fine_tuned
67,Dropper,Portable Stapler,Interactivity,5,This dropper would be used for liquid dispensing.,Pinch the jaws with index and thumb and press the top plastic arm down. The spring-loaded resistance and automatic return convincingly replicate the squeeze and release of a dropper bulb.,6,0.9,True,4,0.9,True,6,0.9,True,1,1,1,fine_tuned
68,Dropper,Portable Stapler,Outline,3,This dropper would be used for liquid dispensing.,Pinch the jaws with index and thumb and press the top plastic arm down. The spring-loaded resistance and automatic return convincingly replicate the squeeze and release of a dropper bulb.,3,1.0,True,2,0.9,True,3,1.0,True,0,1,0,fine_tuned
69,Dropper,Portable Stapler,Texture,4,This dropper would be used for liquid dispensing.,Pinch the jaws with index and thumb and press the top plastic arm down. The spring-loaded resistance and automatic return convincingly replicate the squeeze and release of a dropper bulb.,4,1.0,True,2,0.5,True,2,0.5,True,0,2,2,fine_tuned
70,Dropper,Portable Stapler,Hardness,3,This dropper would be used for liquid dispensing.,Pinch the jaws with index and thumb and press the top plastic arm down. The spring-loaded resistance and automatic return convincingly replicate the squeeze and release of a dropper bulb.,5,0.5,True,3,1.0,True,2,0.9,True,2,0,1,base_4o
71,Dropper,Portable Stapler,Temperature,3,This dropper would be used for liquid dispensing.,Pinch the jaws with index and thumb and press the top plastic arm down. The spring-loaded resistance and automatic return convincingly replicate the squeeze and release of a dropper bulb.,4,0.9,True,3,1.0,True,6,0.0,True,1,0,3,base_4o
72,Dropper,Lay's,Inertia,3,This dropper would be used for liquid dispensing.,"Pinch a single corner or the crinkly front surface between thumb and index finger, squeezing and releasing to feel the air-filled bag deform and pop back—resembling the tactile compliance of a rubber bulb.",3,1.0,True,2,0.9,True,2,0.9,True,0,1,1,fine_tuned
73,Dropper,Lay's,Interactivity,4,This dropper would be used for liquid dispensing.,"Pinch a single corner or the crinkly front surface between thumb and index finger, squeezing and releasing to feel the air-filled bag deform and pop back—resembling the tactile compliance of a rubber bulb.",5,0.9,True,2,0.5,True,5,0.9,True,1,2,1,fine_tuned
74,Dropper,Lay's,Outline,2,This dropper would be used for liquid dispensing.,"Pinch a single corner or the crinkly front surface between thumb and index finger, squeezing and releasing to feel the air-filled bag deform and pop back—resembling the tactile compliance of a rubber bulb.",2,1.0,True,2,1.0,True,1,0.9,True,0,0,1,fine_tuned
75,Dropper,Lay's,Texture,4,This dropper would be used for liquid dispensing.,"Pinch a single corner or the crinkly front surface between thumb and index finger, squeezing and releasing to feel the air-filled bag deform and pop back—resembling the tactile compliance of a rubber bulb.",5,0.9,True,2,0.5,True,1,0.0,True,1,2,3,fine_tuned
76,Dropper,Lay's,Hardness,4,This dropper would be used for liquid dispensing.,"Pinch a single corner or the crinkly front surface between thumb and index finger, squeezing and releasing to feel the air-filled bag deform and pop back—resembling the tactile compliance of a rubber bulb.",4,1.0,True,2,0.5,True,2,0.5,True,0,2,2,fine_tuned
77,Dropper,Lay's,Temperature,4,This dropper would be used for liquid dispensing.,"Pinch a single corner or the crinkly front surface between thumb and index finger, squeezing and releasing to feel the air-filled bag deform and pop back—resembling the tactile compliance of a rubber bulb.",3,0.9,True,2,0.5,True,4,1.0,True,1,2,0,base_mini
78,Dropper,Pillow,Inertia,2,This dropper would be used for liquid dispensing.,"Pinch a portion of the plush rim between thumb and finger; the stuffed filling compresses easily and rebounds, yielding the soft, elastic feedback of a rubber bulb.",5,0.0,True,2,1.0,True,2,1.0,True,3,0,0,base_4o
79,Dropper,Pillow,Interactivity,5,This dropper would be used for liquid dispensing.,"Pinch a portion of the plush rim between thumb and finger; the stuffed filling compresses easily and rebounds, yielding the soft, elastic feedback of a rubber bulb.",5,1.0,True,2,0.0,True,3,0.5,True,0,3,2,fine_tuned
80,Dropper,Pillow,Outline,2,This dropper would be used for liquid dispensing.,"Pinch a portion of the plush rim between thumb and finger; the stuffed filling compresses easily and rebounds, yielding the soft, elastic feedback of a rubber bulb.",2,1.0,True,1,0.9,True,2,1.0,True,0,1,0,fine_tuned
81,Dropper,Pillow,Texture,2,This dropper would be used for liquid dispensing.,"Pinch a portion of the plush rim between thumb and finger; the stuffed filling compresses easily and rebounds, yielding the soft, elastic feedback of a rubber bulb.",5,0.0,True,2,1.0,True,1,0.9,True,3,0,1,base_4o
82,Dropper,Pillow,Hardness,5,This dropper would be used for liquid dispensing.,"Pinch a portion of the plush rim between thumb and finger; the stuffed filling compresses easily and rebounds, yielding the soft, elastic feedback of a rubber bulb.",5,1.0,True,2,0.0,True,2,0.0,True,0,3,3,fine_tuned
83,Dropper,Pillow,Temperature,4,This dropper would be used for liquid dispensing.,"Pinch a portion of the plush rim between thumb and finger; the stuffed filling compresses easily and rebounds, yielding the soft, elastic feedback of a rubber bulb.",2,0.5,True,2,0.5,True,6,0.5,True,2,2,2,fine_tuned
84,Dropper,Selfie-stick,Inertia,5,This dropper would be used for liquid dispensing.,Pinch the small button on the pole with thumb and forefinger. The button’s short spring stroke and click reproduce the squeeze-and-release cycles of dispensing droplets.,2,0.0,True,2,0.0,True,2,0.0,True,3,3,3,fine_tuned
85,Dropper,Selfie-stick,Interactivity,5,This dropper would be used for liquid dispensing.,Pinch the small button on the pole with thumb and forefinger. The button’s short spring stroke and click reproduce the squeeze-and-release cycles of dispensing droplets.,5,1.0,True,3,0.5,True,5,1.0,True,0,2,0,fine_tuned
86,Dropper,Selfie-stick,Outline,3,This dropper would be used for liquid dispensing.,Pinch the small button on the pole with thumb and forefinger. The button’s short spring stroke and click reproduce the squeeze-and-release cycles of dispensing droplets.,2,0.9,True,2,0.9,True,2,0.9,True,1,1,1,fine_tuned
87,Dropper,Selfie-stick,Texture,4,This dropper would be used for liquid dispensing.,Pinch the small button on the pole with thumb and forefinger. The button’s short spring stroke and click reproduce the squeeze-and-release cycles of dispensing droplets.,3,0.9,True,2,0.5,True,2,0.5,True,1,2,2,fine_tuned
88,Dropper,Selfie-stick,Hardness,3,This dropper would be used for liquid dispensing.,Pinch the small button on the pole with thumb and forefinger. The button’s short spring stroke and click reproduce the squeeze-and-release cycles of dispensing droplets.,5,0.5,True,3,1.0,True,2,0.9,True,2,0,1,base_4o
89,Dropper,Selfie-stick,Temperature,4,This dropper would be used for liquid dispensing.,Pinch the small button on the pole with thumb and forefinger. The button’s short spring stroke and click reproduce the squeeze-and-release cycles of dispensing droplets.,4,1.0,True,3,0.9,True,3,0.9,True,0,1,1,fine_tuned
90,Hammer,Ergonomic Chair,Inertia,1,Striking and smashing objects,Grasp one armrest firmly as a handle.,2,0.9,True,1,1.0,True,1,1.0,True,1,0,0,base_4o
91,Hammer,Ergonomic Chair,Interactivity,1,Striking and smashing objects,Grasp one armrest firmly as a handle.,2,0.9,True,1,1.0,True,1,1.0,True,1,0,0,base_4o
92,Hammer,Ergonomic Chair,Outline,1,Striking and smashing objects,Grasp one armrest firmly as a handle.,2,0.9,True,1,1.0,True,2,0.9,True,1,0,1,base_4o
93,Hammer,Ergonomic Chair,Texture,2,Striking and smashing objects,Grasp one armrest firmly as a handle.,2,1.0,True,1,0.9,True,2,1.0,True,0,1,0,fine_tuned
94,Hammer,Ergonomic Chair,Hardness,5,Striking and smashing objects,Grasp one armrest firmly as a handle.,2,0.0,True,2,0.0,True,2,0.0,True,3,3,3,fine_tuned
95,Hammer,Ergonomic Chair,Temperature,3,Striking and smashing objects,Grasp one armrest firmly as a handle.,3,1.0,True,2,0.9,True,2,0.9,True,0,1,1,fine_tuned
96,Hammer,Mechanical Keyboard,Inertia,4,Striking and smashing objects,Grip one narrow edge like a short handle.,2,0.5,True,1,0.0,True,2,0.5,True,2,3,2,fine_tuned
97,Hammer,Mechanical Keyboard,Interactivity,4,Striking and smashing objects,Grip one narrow edge like a short handle.,2,0.5,True,1,0.0,True,2,0.5,True,2,3,2,fine_tuned
98,Hammer,Mechanical Keyboard,Outline,1,Striking and smashing objects,Grip one narrow edge like a short handle.,2,0.9,True,1,1.0,True,2,0.9,True,1,0,1,base_4o
99,Hammer,Mechanical Keyboard,Texture,2,Striking and smashing objects,Grip one narrow edge like a short handle.,3,0.9,True,1,0.9,True,2,1.0,True,1,1,0,base_mini
100,Hammer,Mechanical Keyboard,Hardness,4,Striking and smashing objects,Grip one narrow edge like a short handle.,2,0.5,True,2,0.5,True,2,0.5,True,2,2,2,fine_tuned
101,Hammer,Mechanical Keyboard,Temperature,4,Striking and smashing objects,Grip one narrow edge like a short handle.,3,0.9,True,2,0.5,True,3,0.9,True,1,2,1,fine_tuned
102,Hammer,Desk Lamp,Inertia,4,Striking and smashing objects,Hold the slim vertical post midway so the heavy rectangular light bar overhangs like a mallet head.,5,0.9,True,3,0.9,True,3,0.9,True,1,1,1,fine_tuned
103,Hammer,Desk Lamp,Interactivity,4,Striking and smashing objects,Hold the slim vertical post midway so the heavy rectangular light bar overhangs like a mallet head.,5,0.9,True,2,0.5,True,2,0.5,True,1,2,2,fine_tuned
104,Hammer,Desk Lamp,Outline,3,Striking and smashing objects,Hold the slim vertical post midway so the heavy rectangular light bar overhangs like a mallet head.,5,0.5,True,2,0.9,True,3,1.0,True,2,1,0,base_mini
105,Hammer,Desk Lamp,Texture,6,Striking and smashing objects,Hold the slim vertical post midway so the heavy rectangular light bar overhangs like a mallet head.,5,0.9,True,2,0.0,True,2,0.0,True,1,4,4,fine_tuned
106,Hammer,Desk Lamp,Hardness,6,Striking and smashing objects,Hold the slim vertical post midway so the heavy rectangular light bar overhangs like a mallet head.,5,0.9,True,3,0.0,True,2,0.0,True,1,3,4,fine_tuned
107,Hammer,Desk Lamp,Temperature,5,Striking and smashing objects,Hold the slim vertical post midway so the heavy rectangular light bar overhangs like a mallet head.,5,1.0,True,4,0.9,True,4,0.9,True,0,1,1,fine_tuned
108,Hammer,Sewing Tape Measure,Inertia,2,Striking and smashing objects,"Pull out about 15 cm of tape and wrap it around your fingers as a makeshift handle, letting the disc housing dangle forward as the hammer head.",2,1.0,True,1,0.9,True,1,0.9,True,0,1,1,fine_tuned
