,P0_gray and white camouflage wireless game controller,P1_pair of light brown wooden chopsticks,P2_small black streaming media remote control,P3_clear disposable plastic cup,P4_ripe yellow banana,P5_white minimalist LED desk lamp with a slim horizontal lighting bar and red cable,P6_dark grey ergonomic vertical computer mouse,P7_green bag of Lay's sour cream & onion potato chips,P8_white folded paper origami shape,P9_black hard-shell rolling suitcase with ribbed texture and top handle,P10_wooden-top bedside table with black frame,P11_round gray ceramic plate,P12_purple neoprene-coated dumbbell,P13_small succulent plant in a ribbed yellow pot,P14_glass pepper grinder with black cap,P15_turquoise toothbrush with white bristles,P16_blue Arduino Uno circuit board,P17_6-string acoustic guitar with natural wood finish and cutaway,P18_blue upholstered two-seater couch with black metal frame,P19_magnetic whiteboard with silver tray,P20_rolled white paper scroll
P10_wooden-top bedside table with black frame,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P11_round gray ceramic plate,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P12_purple neoprene-coated dumbbell,"3.1072325059538586(5,3,2)","1.5874010519681994(2,2,1)","3.5568933044900626(5,3,3)","4.308869380063767(5,4,4)","4.93242414866094(4,5,6)","2.154434690031884(5,2,1)","2.5198420997897464(4,2,2)","5.241482788417793(6,6,4)","2.2894284851066637(3,2,2)","2.6207413942088964(6,3,1)","1.912931182772389(7,1,1)","1.7099759466766968(5,1,1)","0(0,0,0)","3.634241185664279(4,4,3)","2.8844991406148166(4,3,2)","2.6207413942088964(2,3,3)","1.5874010519681994(4,1,1)","2.154434690031884(5,2,1)","5.999999999999999(6,6,6)","1.5874010519681994(4,1,1)","3.9999999999999996(4,4,4)"
P13_small succulent plant in a ribbed yellow pot,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P14_glass pepper grinder with black cap,"2.8844991406148166(6,2,2)","2.2894284851066637(3,2,2)","3.9148676411688634(5,3,4)","3.9148676411688634(5,3,4)","5.241482788417793(4,6,6)","2.6207413942088964(3,3,2)","2.0(2,2,2)","5.64621617328617(6,6,5)","2.2894284851066637(2,2,3)","1.912931182772389(7,1,1)","1.912931182772389(7,1,1)","1.8171205928321397(6,1,1)","3.4199518933533937(5,4,2)","4.308869380063767(4,5,4)","0(0,0,0)","2.8844991406148166(2,4,3)","1.5874010519681994(4,1,1)","3.3019272488946263(4,3,3)","6.316359597656378(7,6,6)","1.4422495703074083(3,1,1)","3.634241185664279(4,4,3)"
P15_turquoise toothbrush with white bristles,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P16_blue Arduino Uno circuit board,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P17_6-string acoustic guitar with natural wood finish and cutaway,"3.1072325059538586(5,3,2)","2.5198420997897464(4,2,2)","2.7144176165949063(5,2,2)","3.9148676411688634(5,4,3)","4.93242414866094(4,6,5)","2.7144176165949063(5,2,2)","3.1072325059538586(5,3,2)","5.313292845913055(6,5,5)","2.2894284851066637(3,2,2)","2.4101422641752297(7,1,2)","1.912931182772389(7,1,1)","1.7099759466766968(5,1,1)","3.1072325059538586(5,3,2)","3.3019272488946263(4,3,3)","1.7099759466766968(5,1,1)","3.3019272488946263(4,3,3)","1.7099759466766968(5,1,1)","0(0,0,0)","6.316359597656378(7,6,6)","1.912931182772389(7,1,1)","4.5788569702133275(6,4,4)"
P18_blue upholstered two-seater couch with black metal frame,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P19_magnetic whiteboard with silver tray,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P20_rolled white paper scroll,"2.8844991406148166(6,2,2)","2.2894284851066637(4,3,1)","3.1072325059538586(5,3,2)","4.160167646103808(6,4,3)","5.0(5,5,5)","2.2894284851066637(3,4,1)","3.3019272488946263(6,3,2)","4.93242414866094(6,5,4)","1.4422495703074083(3,1,1)","1.912931182772389(7,1,1)","1.912931182772389(7,1,1)","1.8171205928321397(6,1,1)","3.1072325059538586(5,2,3)","3.3019272488946263(4,3,3)","1.7099759466766968(5,1,1)","2.6207413942088964(3,3,2)","1.7099759466766968(5,1,1)","3.3019272488946263(6,3,2)","5.313292845913055(6,5,5)","1.5874010519681994(4,1,1)","0(0,0,0)"
